sep=,
Seed,Name,Perfection,Ship_Launcher_TakeOffCost,Ship_Launcher_AutoCharge
0,Celestial Jelly,1.0,-20%,Enabled
1,Celestial Jelly,1.0,-20%,Enabled
2,Impossible Clusters,1.0,-20%,Enabled
3,Imagined Coils,1.0,-20%,Enabled
4,Imagined Coils,1.0,-20%,Enabled
5,Timeless Nodules,1.0,-20%,Enabled
6,Impossible Brain Node,1.0,-20%,Enabled
7,Celestial Coils,1.0,-20%,Enabled
8,Conscious Clusters,1.0,-20%,Enabled
9,Conscious Nodules,1.0,-20%,Enabled
10,Timeless Nodules,1.0,-20%,Enabled
11,Imagined Jelly,1.0,-20%,Enabled
12,Imagined Clusters,1.0,-20%,Enabled
13,Conscious Membrane,1.0,-20%,Enabled
14,Conscious Lobes,1.0,-20%,Enabled
15,Imagined Lobes,1.0,-20%,Enabled
16,Impossible Membrane,1.0,-20%,Enabled
17,Timeless Bio-Anomaly,1.0,-20%,Enabled
18,Timeless Brain Node,1.0,-20%,Enabled
19,Impossible Jelly,1.0,-20%,Enabled
20,Conscious Bio-Anomaly,1.0,-20%,Enabled
21,Timeless Clusters,1.0,-20%,Enabled
22,Imagined Coils,1.0,-20%,Enabled
23,Celestial Coils,1.0,-20%,Enabled
24,Impossible Bio-Anomaly,1.0,-20%,Enabled
25,Timeless Lobes,1.0,-20%,Enabled
26,Timeless Bio-Anomaly,1.0,-20%,Enabled
27,Celestial Brain Node,1.0,-20%,Enabled
28,Timeless Lobes,1.0,-20%,Enabled
29,Timeless Clusters,1.0,-20%,Enabled
30,Conscious Clusters,1.0,-20%,Enabled
31,Conscious Membrane,1.0,-20%,Enabled
32,Celestial Coils,1.0,-20%,Enabled
33,Conscious Lobes,1.0,-20%,Enabled
34,Celestial Brain Node,1.0,-20%,Enabled
35,Celestial Bio-Anomaly,1.0,-20%,Enabled
36,Timeless Bio-Anomaly,1.0,-20%,Enabled
37,Impossible Membrane,1.0,-20%,Enabled
38,Imagined Tendril,1.0,-20%,Enabled
39,Celestial Jelly,1.0,-20%,Enabled
40,Celestial Coils,1.0,-20%,Enabled
41,Celestial Brain Node,1.0,-20%,Enabled
42,Timeless Bio-Anomaly,1.0,-20%,Enabled
43,Celestial Brain Node,1.0,-20%,Enabled
44,Conscious Brain Node,1.0,-20%,Enabled
45,Conscious Clusters,1.0,-20%,Enabled
46,Celestial Bio-Anomaly,1.0,-20%,Enabled
47,Imagined Jelly,1.0,-20%,Enabled
48,Timeless Brain Node,1.0,-20%,Enabled
49,Impossible Coils,1.0,-20%,Enabled
50,Impossible Membrane,1.0,-20%,Enabled
51,Imagined Coils,1.0,-20%,Enabled
52,Impossible Clusters,1.0,-20%,Enabled
53,Imagined Jelly,1.0,-20%,Enabled
54,Imagined Bio-Anomaly,1.0,-20%,Enabled
55,Imagined Coils,1.0,-20%,Enabled
56,Imagined Lobes,1.0,-20%,Enabled
57,Celestial Brain Node,1.0,-20%,Enabled
58,Timeless Membrane,1.0,-20%,Enabled
59,Conscious Coils,1.0,-20%,Enabled
60,Conscious Bio-Anomaly,1.0,-20%,Enabled
61,Celestial Brain Node,1.0,-20%,Enabled
62,Celestial Clusters,1.0,-20%,Enabled
63,Imagined Tendril,1.0,-20%,Enabled
64,Imagined Brain Node,1.0,-20%,Enabled
65,Impossible Clusters,1.0,-20%,Enabled
66,Timeless Tendril,1.0,-20%,Enabled
67,Impossible Coils,1.0,-20%,Enabled
68,Impossible Jelly,1.0,-20%,Enabled
69,Timeless Coils,1.0,-20%,Enabled
70,Timeless Brain Node,1.0,-20%,Enabled
71,Conscious Lobes,1.0,-20%,Enabled
72,Timeless Nodules,1.0,-20%,Enabled
73,Timeless Membrane,1.0,-20%,Enabled
74,Impossible Clusters,1.0,-20%,Enabled
75,Timeless Brain Node,1.0,-20%,Enabled
76,Impossible Clusters,1.0,-20%,Enabled
77,Conscious Coils,1.0,-20%,Enabled
78,Timeless Clusters,1.0,-20%,Enabled
79,Celestial Membrane,1.0,-20%,Enabled
80,Celestial Tendril,1.0,-20%,Enabled
81,Timeless Coils,1.0,-20%,Enabled
82,Impossible Bio-Anomaly,1.0,-20%,Enabled
83,Impossible Tendril,1.0,-20%,Enabled
84,Celestial Tendril,1.0,-20%,Enabled
85,Imagined Nodules,1.0,-20%,Enabled
86,Conscious Bio-Anomaly,1.0,-20%,Enabled
87,Timeless Brain Node,1.0,-20%,Enabled
88,Imagined Bio-Anomaly,1.0,-20%,Enabled
89,Timeless Coils,1.0,-20%,Enabled
90,Imagined Brain Node,1.0,-20%,Enabled
91,Impossible Jelly,1.0,-20%,Enabled
92,Celestial Brain Node,1.0,-20%,Enabled
93,Celestial Lobes,1.0,-20%,Enabled
94,Conscious Coils,1.0,-20%,Enabled
95,Celestial Jelly,1.0,-20%,Enabled
96,Celestial Brain Node,1.0,-20%,Enabled
97,Timeless Jelly,1.0,-20%,Enabled
98,Conscious Brain Node,1.0,-20%,Enabled
99,Imagined Tendril,1.0,-20%,Enabled
100,Imagined Clusters,1.0,-20%,Enabled
101,Celestial Membrane,1.0,-20%,Enabled
102,Timeless Jelly,1.0,-20%,Enabled
103,Conscious Nodules,1.0,-20%,Enabled
104,Conscious Clusters,1.0,-20%,Enabled
105,Conscious Jelly,1.0,-20%,Enabled
106,Conscious Jelly,1.0,-20%,Enabled
107,Conscious Bio-Anomaly,1.0,-20%,Enabled
108,Celestial Bio-Anomaly,1.0,-20%,Enabled
109,Conscious Nodules,1.0,-20%,Enabled
110,Timeless Clusters,1.0,-20%,Enabled
111,Impossible Lobes,1.0,-20%,Enabled
112,Celestial Jelly,1.0,-20%,Enabled
113,Imagined Coils,1.0,-20%,Enabled
114,Impossible Clusters,1.0,-20%,Enabled
115,Celestial Clusters,1.0,-20%,Enabled
116,Celestial Brain Node,1.0,-20%,Enabled
117,Imagined Clusters,1.0,-20%,Enabled
118,Celestial Brain Node,1.0,-20%,Enabled
119,Conscious Coils,1.0,-20%,Enabled
120,Celestial Brain Node,1.0,-20%,Enabled
121,Celestial Brain Node,1.0,-20%,Enabled
122,Celestial Coils,1.0,-20%,Enabled
123,Conscious Brain Node,1.0,-20%,Enabled
124,Impossible Coils,1.0,-20%,Enabled
125,Timeless Tendril,1.0,-20%,Enabled
126,Impossible Lobes,1.0,-20%,Enabled
127,Celestial Nodules,1.0,-20%,Enabled
128,Conscious Tendril,1.0,-20%,Enabled
129,Imagined Tendril,1.0,-20%,Enabled
130,Imagined Brain Node,1.0,-20%,Enabled
131,Conscious Jelly,1.0,-20%,Enabled
132,Conscious Brain Node,1.0,-20%,Enabled
133,Impossible Brain Node,1.0,-20%,Enabled
134,Celestial Membrane,1.0,-20%,Enabled
135,Timeless Tendril,1.0,-20%,Enabled
136,Celestial Clusters,1.0,-20%,Enabled
137,Conscious Tendril,1.0,-20%,Enabled
138,Celestial Brain Node,1.0,-20%,Enabled
139,Conscious Membrane,1.0,-20%,Enabled
140,Celestial Lobes,1.0,-20%,Enabled
141,Impossible Bio-Anomaly,1.0,-20%,Enabled
142,Celestial Lobes,1.0,-20%,Enabled
143,Imagined Clusters,1.0,-20%,Enabled
144,Conscious Tendril,1.0,-20%,Enabled
145,Imagined Nodules,1.0,-20%,Enabled
146,Timeless Brain Node,1.0,-20%,Enabled
147,Conscious Coils,1.0,-20%,Enabled
148,Imagined Jelly,1.0,-20%,Enabled
149,Impossible Membrane,1.0,-20%,Enabled
150,Imagined Brain Node,1.0,-20%,Enabled
151,Impossible Membrane,1.0,-20%,Enabled
152,Impossible Jelly,1.0,-20%,Enabled
153,Imagined Bio-Anomaly,1.0,-20%,Enabled
154,Imagined Brain Node,1.0,-20%,Enabled
155,Timeless Brain Node,1.0,-20%,Enabled
156,Impossible Coils,1.0,-20%,Enabled
157,Conscious Brain Node,1.0,-20%,Enabled
158,Impossible Bio-Anomaly,1.0,-20%,Enabled
159,Conscious Jelly,1.0,-20%,Enabled
160,Impossible Jelly,1.0,-20%,Enabled
161,Impossible Coils,1.0,-20%,Enabled
162,Impossible Clusters,1.0,-20%,Enabled
163,Celestial Brain Node,1.0,-20%,Enabled
164,Imagined Jelly,1.0,-20%,Enabled
165,Conscious Coils,1.0,-20%,Enabled
166,Conscious Clusters,1.0,-20%,Enabled
167,Celestial Bio-Anomaly,1.0,-20%,Enabled
168,Celestial Lobes,1.0,-20%,Enabled
169,Imagined Tendril,1.0,-20%,Enabled
170,Timeless Nodules,1.0,-20%,Enabled
171,Timeless Lobes,1.0,-20%,Enabled
172,Impossible Nodules,1.0,-20%,Enabled
173,Celestial Tendril,1.0,-20%,Enabled
174,Impossible Brain Node,1.0,-20%,Enabled
175,Conscious Clusters,1.0,-20%,Enabled
176,Imagined Lobes,1.0,-20%,Enabled
177,Celestial Brain Node,1.0,-20%,Enabled
178,Timeless Lobes,1.0,-20%,Enabled
179,Conscious Tendril,1.0,-20%,Enabled
180,Imagined Nodules,1.0,-20%,Enabled
181,Timeless Tendril,1.0,-20%,Enabled
182,Timeless Coils,1.0,-20%,Enabled
183,Conscious Membrane,1.0,-20%,Enabled
184,Imagined Coils,1.0,-20%,Enabled
185,Imagined Brain Node,1.0,-20%,Enabled
186,Impossible Membrane,1.0,-20%,Enabled
187,Imagined Lobes,1.0,-20%,Enabled
188,Timeless Coils,1.0,-20%,Enabled
189,Celestial Nodules,1.0,-20%,Enabled
190,Timeless Nodules,1.0,-20%,Enabled
191,Timeless Brain Node,1.0,-20%,Enabled
192,Timeless Bio-Anomaly,1.0,-20%,Enabled
193,Impossible Coils,1.0,-20%,Enabled
194,Imagined Bio-Anomaly,1.0,-20%,Enabled
195,Celestial Lobes,1.0,-20%,Enabled
196,Conscious Lobes,1.0,-20%,Enabled
197,Timeless Brain Node,1.0,-20%,Enabled
198,Timeless Jelly,1.0,-20%,Enabled
199,Imagined Nodules,1.0,-20%,Enabled
200,Timeless Brain Node,1.0,-20%,Enabled
201,Timeless Brain Node,1.0,-20%,Enabled
202,Conscious Brain Node,1.0,-20%,Enabled
203,Timeless Nodules,1.0,-20%,Enabled
204,Timeless Coils,1.0,-20%,Enabled
205,Celestial Tendril,1.0,-20%,Enabled
206,Conscious Nodules,1.0,-20%,Enabled
207,Impossible Jelly,1.0,-20%,Enabled
208,Timeless Brain Node,1.0,-20%,Enabled
209,Conscious Tendril,1.0,-20%,Enabled
210,Conscious Brain Node,1.0,-20%,Enabled
211,Conscious Coils,1.0,-20%,Enabled
212,Celestial Jelly,1.0,-20%,Enabled
213,Imagined Nodules,1.0,-20%,Enabled
214,Timeless Brain Node,1.0,-20%,Enabled
215,Imagined Tendril,1.0,-20%,Enabled
216,Impossible Bio-Anomaly,1.0,-20%,Enabled
217,Timeless Lobes,1.0,-20%,Enabled
218,Celestial Coils,1.0,-20%,Enabled
219,Timeless Nodules,1.0,-20%,Enabled
220,Conscious Membrane,1.0,-20%,Enabled
221,Imagined Membrane,1.0,-20%,Enabled
222,Conscious Lobes,1.0,-20%,Enabled
223,Impossible Lobes,1.0,-20%,Enabled
224,Imagined Clusters,1.0,-20%,Enabled
225,Celestial Nodules,1.0,-20%,Enabled
226,Timeless Clusters,1.0,-20%,Enabled
227,Celestial Membrane,1.0,-20%,Enabled
228,Celestial Bio-Anomaly,1.0,-20%,Enabled
229,Timeless Brain Node,1.0,-20%,Enabled
230,Conscious Membrane,1.0,-20%,Enabled
231,Conscious Brain Node,1.0,-20%,Enabled
232,Celestial Jelly,1.0,-20%,Enabled
233,Imagined Membrane,1.0,-20%,Enabled
234,Impossible Clusters,1.0,-20%,Enabled
235,Celestial Jelly,1.0,-20%,Enabled
236,Impossible Lobes,1.0,-20%,Enabled
237,Conscious Nodules,1.0,-20%,Enabled
238,Conscious Coils,1.0,-20%,Enabled
239,Impossible Bio-Anomaly,1.0,-20%,Enabled
240,Conscious Bio-Anomaly,1.0,-20%,Enabled
241,Timeless Jelly,1.0,-20%,Enabled
242,Conscious Brain Node,1.0,-20%,Enabled
243,Impossible Brain Node,1.0,-20%,Enabled
244,Imagined Bio-Anomaly,1.0,-20%,Enabled
245,Impossible Brain Node,1.0,-20%,Enabled
246,Imagined Lobes,1.0,-20%,Enabled
247,Timeless Bio-Anomaly,1.0,-20%,Enabled
248,Celestial Jelly,1.0,-20%,Enabled
249,Conscious Clusters,1.0,-20%,Enabled
250,Celestial Clusters,1.0,-20%,Enabled
251,Timeless Jelly,1.0,-20%,Enabled
252,Impossible Membrane,1.0,-20%,Enabled
253,Imagined Nodules,1.0,-20%,Enabled
254,Conscious Lobes,1.0,-20%,Enabled
255,Impossible Bio-Anomaly,1.0,-20%,Enabled
256,Celestial Nodules,1.0,-20%,Enabled
257,Celestial Bio-Anomaly,1.0,-20%,Enabled
258,Timeless Clusters,1.0,-20%,Enabled
259,Conscious Clusters,1.0,-20%,Enabled
