sep=,
Seed,Name,Perfection,Product_Age,Product_Basevalue
0,Tarnished Board,0.00054,276,116434
1,Weathered Cylinders,0.30082,679,910643
2,Corroded Belt,0.04377,269,230764
3,Blackened Circuits,0.02484,339,180713
4,Water-stained Heat Pipes,0.03678,336,212284
5,Fused Compressor,0.02572,230,183034
6,Chewed Pump,0.0037,432,124778
7,Fused Valves,0.00282,243,122461
8,Greasy Thruster,0.24164,698,754126
9,Greasy Plating,0.03851,222,216856
10,Buzzing Seal,0.00111,493,117940
11,Corroded Connector,0.05752,307,267127
12,Unusual Pistons,0.27863,705,851943
13,Sparking Inlet,0.04885,335,244194
14,Dirty Actuator,0.02863,465,190734
15,Buzzing Cog,0.02427,413,179187
16,Oily Seal,0.2568,1029,794221
17,Intact Accelerometer,0.55193,2080,1574810
18,Unusual Cylinders,0.2236,897,706403
19,Intact Pneumatics,0.96807,2030,2675465
20,Well-preserved Gyroscope,0.76364,2135,2134762
21,Dirty Heat Pipes,0.2635,985,811947
22,Greasy Connector,0.02741,378,187508
23,Rusty Inlet,0.19814,1026,639065
24,Corroded Pistons,0.02224,412,173823
25,Crusty Belt,0.06706,408,292379
26,Chewed Board,0.02247,344,174420
27,Crusty Ballute,0.0159,402,157054
28,Weathered Tank,0.14656,967,502629
29,Crusty Cog,0.03245,213,200816
30,Weathered Actuator,0.04492,247,233801
31,Well-preserved Pneumatics,0.50751,2291,1457319
32,Greasy Sensor,0.28904,771,879502
33,Well-preserved Pneumatics,0.99938,2669,2758277
34,Unusual Board,0.04054,461,222220
35,Buzzing Ballute,0.01364,288,151064
36,Sparking Plug,0.01465,214,153749
37,Humming Pump,0.2399,1089,749507
38,Intact Processor,0.90434,1402,2506916
39,Water-stained Gear,0.16987,799,564295
40,Unusual Heat Pipes,0.06295,366,281501
41,Blackened Chip,0.01169,450,145924
42,Damaged Connector,0.01888,454,164935
43,Bent Seal,0.20832,1092,665978
44,Bent Booster,0.03894,292,217990
45,Advanced Regulator,0.54024,2754,1543903
46,Rusty Pump,0.03201,290,199675
47,Weathered Board,0.20589,1023,659551
48,Weathered Heat Pipes,0.03688,407,212537
49,Chewed Sprockets,0.03754,401,214278
50,Chewed Chip,0.30686,918,926633
51,Humming Sensor,0.26333,696,811481
52,Fused Actuator,0.26599,723,818526
53,Pitted Thruster,0.07325,243,308740
54,Intact Regulator,0.81354,2963,2266762
55,Intricate Gyroscope,0.82705,1865,2302486
56,Repurposed Casing,0.18775,1056,611589
57,Chewed Casing,0.17828,704,586525
58,Greasy Radiator,0.08375,347,336515
59,Sparking Cog,0.26484,1084,815470
60,Unusual Circuits,0.01168,349,145903
61,Tarnished Gear,0.03073,409,196276
62,Crusty Casing,0.01605,447,157456
