Seed,Name,Perfection,Shield Strength,Health,LS Tanks,SP Power,Drain,Sprint
0,Salvaged Dampener,0.441,,,107%,,,43%
1,Salvaged Harmoniser,0.102,,,,,,30%
2,Anomalous Heat Sink,0.096,,,45%,,,
3,Polymorphous Harvester,0,,,,,6%,
4,Impossible Dampener,0.096,,33%,,9%,9%,
5,Forsaken Harmoniser,0.19,29%,,,,,
6,Released Turbine,0.077,,,37%,,,
7,Rescued Stabiliser,0.103,34%,,7%,,,
8,Haunted Diffuser,0.457,34%,33%,59%,,,
9,Haunted Harvester,0.081,,,,25%,,
10,Nanite-Marked Bulwark,0.19,,,84%,,,
11,Polymorphous Dynamo,0.2,30%,,,,,
12,Watery Generator,0.383,,,,,22%,46%
13,Haunted Filter,0.224,,,,,23%,
14,Haunted Shield Tanks,0.142,,,,43%,,
15,Writhing Diffuser,0.103,,,48%,,,
16,Anomalous Diffuser,0.206,34%,,,6%,9%,
17,Non-compliant Loom,0.667,,,95%,,22%,57%
18,Cursed Capacitor,0.093,,33%,,14%,,
19,Anomalous Stasis Tank,0.179,,,,54%,,
20,Haunted Battery,0.216,18%,33%,,2%,,32%
21,Cursed Dynamo,0.172,,,25%,,21%,14%
22,Writhing Exhaust,0.197,31%,33%,,5%,,13%
23,Salvaged Regulator,0.228,,,100%,,,
24,Anomalous Harmoniser,0.237,33%,33%,,8%,,14%
25,Nanite-Marked Filter,0.25,,33%,,,,
26,Forsaken Harvester,0.18,,,35%,,,35%
27,Doomed Shield Tanks,0.19,,,84%,,,
28,Cursed Heat Sink,0.17,27%,,,,,
29,Forsaken Loom,0.163,,,73%,,,
30,Aeronic Filter,0.158,,,,,,41%
31,Aeronic Regulator,0.031,,,,,,16%
32,Salvaged Regulator,0.048,,33%,14%,,,
33,Crimson Harvester,0.292,32%,,,,,31%
34,Doomed Dampener,0.11,21%,,,,,
35,Salvaged Turbine,0.1,20%,,,,,
36,Non-compliant Regulator,0.173,,,,,,44%
37,Relinquished Dynamo,0.449,34%,33%,,17%,18%,
38,Watery Stasis Tank,0.25,,33%,,,,
39,Salvaged Dampener,0.17,27%,,,,,
40,Anointed Capacitor,0.146,,,,,9%,27%
41,Salvaged Shield Tanks,0.487,,33%,,73%,,
42,Non-compliant Heat Sink,0.432,30%,,,43%,12%,
43,Salvaged Generator,0.39,23%,,,46%,,29%
44,Haunted Stasis Tank,0.192,33%,,19%,11%,,11%
45,Glassy Bulwark,0.01,,,9%,,,
46,Salvaged Load Balancer,0.25,,33%,,,,
47,Impossible Turbine,0.197,,,,,21%,
48,Nanite-Marked Capacitor,0.071,,,,,,24%
49,Extinguished Harmoniser,0.25,,33%,,,,
50,Anomalous Heat Sink,0.182,25%,33%,,,,12%
51,Polymorphous Stabiliser,0.132,,,,,16%,
52,Extinguished Filter,0.25,,33%,,,,
53,Watery Stasis Tank,0.053,,,,,10%,
54,Polymorphous Stabiliser,0.132,,,,,16%,
55,Writhing Harvester,0.18,28%,,,,,
56,Writhing Shield Tanks,0.06,16%,,,,,
57,Anointed Bulwark,0.079,15%,,,,8%,
58,Cursed Diffuser,0.174,,33%,,,12%,
59,Glassy Load Balancer,0.068,,,,21%,,
60,Crimson Load Balancer,0.095,,,,,6%,23%
61,Doomed Regulator,0.099,,,46%,,,
62,Doomed Energy Field,0.082,,,7%,,,33%
63,Impossible Harmoniser,0.041,,,,,,18%
64,Polymorphous Diffuser,0.223,,33%,12%,32%,11%,
65,Extinguished Dynamo,0.236,,,103%,,,
66,Nanite-Marked Harmoniser,0.144,,,15%,,,44%
67,Released Shield Tanks,0.242,,,61%,,,28%
68,Extinguished Dynamo,0,,,,,6%,
69,Non-compliant Energy Field,0.125,,,,38%,,
70,Cursed Harmoniser,0.184,,,,,,46%
71,Haunted Generator,0.081,,33%,14%,,6%,14%
72,Forsaken Dynamo,0.25,,33%,,,,
73,Non-compliant Turbine,0.005,,,7%,,,
74,Relinquished Load Balancer,0.014,,,9%,2%,,
75,Cursed Energy Field,0.002,,,6%,,,
